"professionid","professiondescen","professiondescar"
"4333025","BICYCLE SALES","بائع دراجات هوائيه"
"4334000","SPARE PPARTS SALESMEN","بائعو قطع الغيار"
"4334013","CARS NEW SPARE PARTS SALES","بائع قطع غيار جديده"
"4334024","CARS USED SPARE PARTS SALES","بائع قطع غيار مستعمله"
"4334035","TIRES SALES","بائع اطارات"
"4334045","CARS SPARE PARTS STORE HOUSMAN","خازن قطع غيار"
"4334055","USED PARTS SELES","بائع مواد خرده"
"4340000","INDUS AGRI FUEL EQUP SEL OCUP","بائعو تجهيزات صناعيه وزراعيه"
"4341000","INDUSTRIAL EQUIPMENTS SALES","بائعو التجهيزات الصناعيه"
"4341013","INDUSTRIAL EQUP MATERIAL SALES","بائع تجهيزات صناعيه"
"4341025","INDUSTRIAL MACHINES SALES","بائع الات صناعيه"
"4341034","ELECTRICAL MACHINES SALES","بائع الات كهربائيه"
"4341045","INDUSTRIAL TOOLS SALES","بائع ادوات صناعيه"
"4341055","MARINE TOOLS SALES","بائع ادوات بحريه"
"4341064","FIRE EXTINGUISHER ACCESSORIES SALE","بائع لوازم اطفاء الحريق"
"4342000","AGRICULTURE EQUIPMENT SALESMEN","بائعو التجهيزات الزراعيه"
"4342013","AGRICULTURE EQUIPMENT SALES","بائع تجهيزات زراعيه"
"4342024","SEEDS AND FERTILIZERS SALES","بائع بذور واسمده زراعيه"
"4342034","SEEDINGS SALES","بائع اشتال زراعيه"
"4342043","PESTICIDES SALES","بائع مبيدات افات زراعيه"
"4342053","FERTILIZERS SALES","بائع مخصبات زراعيه"
"4342063","IRRIGATION EQUIPMENTS SALES","بائع تجهيزات الرى"
"4342075","AGRI MACHI IMPLEMENTS SALES","بائع ادوات الات زراعيه"
"4342085","FODDER SALES","بائع اعلاف"
"4342095","TOBACCO SALES","بائع تبغ"
"4343000","FUEL SALES","بائعو الوقود"
"4343014","SERVICE STATION IN CHARGE ASSISTANT","مساعد مسؤول محطة خدمه"
"4343015","PETROLEUM PRODUCT SALES GEN","بائع منتجات نفطيه"
"4343025","PETROL SALES (PETROL STATION)","بائع وقود سائل (محطه تعبئه)"
"4343027","FILLER (PETROL STATION)","عامل محطه وقود"
"4343035","GAS SALES","بائع غاز"
"4343045","COAL AND WOOD SALES","بائع فحم وخشب وقود"
"4344014","CHEMICAL MATERIALS SALES","بائع مواد كيماويه"
"4344024","CLENING MATERIAL SALES","بائع مواد تنظيف"
"4344035","PLASTIC MATERIAS SALES","بائع مواد بلاستيكيه"
"5000000","SERVICE OCCUPATION","مهن الخدمات"
"5100000","PERSONAL HOUSING SERV OCUP","مهن الخدمات الشخصيه والسكنيه"
"5110000","HAIRDRESSERS AND BEAUTICIANS","مهن الحلاقه والتجميل"
"5111000","HAIRDRESSERS","الحلاقون"
"5111010","HAI REPLACEMENT","مثبت شعر للصلع"
"5111014","MEN BARBER","حلاق رجالى"
"5111024","WOMEN HAIRDRESSER","حلاق نسائى"
"5111034","HAIR STYLIST","مصفف شعر"
"5112000","BEAUTICIANS","المجملون"
"5112011","BEAUTY CONSULTANT","استشارى تجميل"
"5112013","BEAUTICIAN GENERAL","مجمل/مزين"
"5112024","MAKER UP","عامل مكياج"
"5112035","MANICURIST","مقلم اظافر"
"5112045","BODY MASSEUR","مدلك بشره"
"5112051","HENNA APPLICATOR","عامل حنه"
"5120000","FOOD AND DRINKS SERVICES OCUP","مهن خدمات الطعام والشراب"
"5121000","BAKERS","الخبازون"
"5121015","DOUGH KNEADER","عجان"
"5121025","BAKER","خباز فرن"
"5121035","TANDOOR BAKER","خباز تنور"
"5122000","COOKS","الطهاه"
"5122011","EXECUTIVE CHEF","رئيس الطهاة"
"5122012","EXPERT CHEF","خبير الطهاة"
"5122013","FOODS SERVICES SUPERVISOR","مشرف خدمات طعام"
"5122014","HALL SUPERVISOR","مشرف صالة"
"5122022","COOK PRIVATE","طاهى / طباخ خاص"
"5122023","COOK GENERAL","طاهى/ طباخ عام"
"5122034","ARABIC FOOD COOK","طاهى اطعمه عربيه"
"5122044","FOREIGN FOOD COOK","طاهى اطعمه اجنبيه"
"5122055","GRILLED MEAT MAKER","شواء لحوم"
"5122065","GRILLED FISH MAKER","شواء اسماك"
"5122075","GRILLED CHICKEN MAKER","شواء دجاج"
"5122085","CHAWARMA MAKER","شواء شاورما"
"5122095","SANDWICH MAKER","صانع شطائر (سندويتش)"
"5122105","FALAFEL MAKER","صانع فلافل"
"5122115","CONFECTIONER","صانع حلويات"
"5122125","PASTRIES MAKER","صانع معجنات"
"5122135","COOK/CONFECTIONER ASSISTANT","مساعد طاهى/حلوانى"
"5123000","WAITERS FOOD","نادلو الطعام"
"5123013","HEAD WAITER/WAITRESS","نادل رئيسى"
"5123025","WAITER","نادل طعام"
"5123026","WAITRESS","نادله طعام"
"5123035","BOTTLE WASHER","منظف اوانى"
"5124000","WAITERS DRINKS","نادلو الشراب"
"5124013","BARMAN","ساقى حانه"
"5124025","WAITER/WAITRESS COFFEE SHOP","نادل حانه/مقهى"
"5124035","JUICE MAKER","صانع عصير فواكه"
"5124045","ARABIC COFFEE MAKER","صانع قهوه عربيه"
"5124055","COFFEE COOK","قهوجى"
"5124066","RESTAURANT WORKER","عامل مطعم"
"5124071","RESTAURANT CONTROLLER","مراقب مطعم"
"5124073","RESTAURANT CONTROLLER ASSISTANT","مساعد مراقب مطعم"
"5125000","STEWARDS","المضيفون"
"5125001","STEWARD/STEWARDESS(RESTAURANT)","مضيف مطعم"
"5125003","COFFEE BOY","مضيف قهوة"
"5125013","STEWARD/STEWARDESS (GROUND)","مضيف ارضى"
"5125024","STEWARD/STEWARDESS (AIR)","مضيف جوى"
"5125034","STEWARD/STEWARDESS (SHIP)","مضيف سفينه"
"5125045","STEWARD (TRAIN BUS)","مضيف قطار"
"5125049","PASSENGER SERVICES ASSISTANT","مساعد خدمات مسافرين"
"5125055","STEWARD/STEWARDESS (BUS)","مضيف حافله"
"5126013","CATERING SUPERVISOR","مشرف تموين"
"5126015","CATERING ASSISTANT","مساعد تموين"
"5126017","CATERING OFFICER","ضابط تموين"
"5126023","RECEPTION OFFICER","ضابط استقبال"
"5126024","SR.OFFICER TELECOM AND RECEPTION","ضابط اول - الاتصالات والاستقبال"
"5126035","HOUSING OFFICER","ضابط اسكان"
"5130000","CLOTH CLEAN AND GEN CLEAN OCUP","مهن تنظيف الملابس والتنظيفات"
"5131000","LAUNDRY AND PRESSING WORKERS","عمال تنظيف وكى الملابس"
"5131014","PRESSER GENERAL","كواء عام"
"5131025","STEAM PRESSING WORKER","كواء ملابس بالبخار"
"5131035","HAND PRESSER","كواء يدوى"
"5131045","DRY CLEANING WORKER","عامل تنظيف جاف"
"5131055","WASHING MACHINES OPERATOR","مشغل غسالات الملابس"
"5131065","LAUNDRY SORTER","مصنف ملابس وبياضات"
"1624043","SENIOR BANKING REVIEWER","مراجع مصرفي رئيسي"
"1624051","FINANCIAL CONSULTANT","استشارى اعمال مصرفية"
"1624052","HUMAN RESOURCES SUPPORT SPECIALIST","اخصائي دعم موارد بشريه"
"1624101","FACILITIES ASSIST","مساعد تسهيلات"
"2000000","SCIENCE TEHNICIAN","الفنيون فى المواضيع العلميه"
"2100000","PURE SCIENCE TECHNICIANS","الفنيون فى العلوم البحته"
"2110000","PHYSICAL SCIENCES TECHNICIANS","الفنيون فى العلوم الطبيعيه"
"2111000","CHEMICAL TECHNICIANS","الفنيون الكيميائيون"
"2111001","SCIENTIFIC BOOKS EXAMINER","محقق كتب علميه"
"2111011","LABORATORY TECH","فنى مختبر"
"2111012","CHEMICAL LABORATORY TEC GEN","فنى مختبر كيمياء"
"2111013","TECHNICAL ASSISTANT","مساعد فني"
"2111022","CHEMICAL LABORT TEC PETROLEUM","فنى مختبر نفط عام"
"2111032","CHEMICAL LABORATORY TEC WATER","فنى مختبر مياه"
"2111042","CHEMICAL LABORATORY TEC FOOD","فنى مختبر اغذيه"
"2111043","HEALTH AND FOOD INSPECTOR","مفتش صحه واغذيه"
"2111055","LABORATORY ANALYST","محلل مختبر (معمل)"
"2111061","HEALTH INSPECTOR","مفتش صحه"
"2111101","LABORATORY SUPERINTENDANT","مسؤول مختبر"
"2112000","PHYSICS TECHNICIANS","الفنيون الفيزيائيون"
"2112012","PHYAICS LABORATORY TEC GEN","فنى مختبر فيزياء"
"2112022","PHYSIC LABORATORY TEC MECHANIC","فنى مختبر فيزياء ميكانيكا"
"2112032","PHYSICS LABORATORY TEC HEAT","فنى مختبر فيزياء حراره"
"2112042","PHYSIC LABORT TEC LIGHT OPTIC","فنى مختبر فيزياء ضوء وبصريات"
"2112052","PHYSICS LABORATORY TEC SOUNDS","فنى مختبر فيزياء صوت"
"2112062","PHYSIC LABORT TEC ELECTROMAGNT","فنى مختبر فيزياء كهرومغناطيسى"
"2112072","PHYSICS LABORT TEC ELECTRONICS","فنى مختبر فيزياء الكترونيات"
"2112075","SCIENCE TECHNICIAN","مهنى علمى / فنى"
"2112101","AUDIOLOGY TECHNICION","فنى سمعيات"
"2113000","GEOLOGY TECHNICIANS","الفنيون الجيولوجيون"
"2113012","GEOLOGY TECHNICIAN GENERAL","فنى جيولوجى"
"2113022","GEOLOGY LABORATORY TECHNICIAN","فنى مختبر جيولوجى"
"2113032","SURVEYOR","مساح جيولوجى"
"2113033","SENIOR SERVEYOR","مساح جيولوجي اول"
"2113042","EARTHQUAKE TECHNICIAN","فنى زلزالى"
"2113052","EARTHQUAKE SURVEYOR","مساح زلزالى"
"2113062","EARTHQUAKE FORMAN","مراقب زلزالى"
"2113072","GEOLOGICAL ARTIST","رسام جيولوجى"
"2114000","ASTROLOGY TECHNICIAN","الفنيون الفلكيون"
"2114012","ASTROLOGY OBSERVATION TEC","فنى رصد فلكى"
"2114022","ASTROLOGY MAPS DRAUGHTSMAN","رسام خرائط فلكيه"
"2114101","MAPS TECHNICIAN","فنى خرائط"
"2114111","MAPS TECHNICIAN ASSISTANT","مساعد فنى خرائط"
"2115000","METEOROLOGY TECHNICIANS","فنيو الارصاد"
"2115012","WEATHER FORECASTING TECHNICIAN","فنى رصد مناخ"
"2115022","WEATHER MAPS DRAUGHTSMAN","رسام خرائط مناخيه"
"2115032","METEOROLOGY SUPERVISOR","مشرف ارصاد"
"2118072","SAFETY OFFICER","ضابط سلامه"
"2120000","LIFE SCIENCES TECHNICIANS","الفنيون فى العلوم الحياتيه"
"2121000","ZOOLOGY TECHNICIANS","الفنيون فى علم الحيوان"
"2121012","BIOLOGY LABORATORY TECHNICIAN","فنى مختبر بيولوجى"
"2121022","ANIMAL FEEDING RSRCH TECHNICAN","فنى ابحاث اغذيه الحيوان"
"2122000","BOTANY TECHNICIAN","الفنيون فى علم النبات"
"2122012","PLANT SPECIES TECHNICIAN","فنى عينات نباتيه"
"2122022","HYBRIDIZATION RSRCH TECHNICIAN","فنى ابحاث تهجين"
"2123000","PATHOLOGY TECHNICIAN","الفنيون فى علم الامراض"
"2123012","INSECTS LABORATORY TECHNICIAN","فنى مختبر حشرات"
"2123022","BACTERIOLOGY LAB TECHNICIAN","فنى مختبر جراثيم(بكتيريا)"
"2130000","STATISTICS AND INFM SYS TEC","الفنيون فى الاحصاء ونظم معلومات"
"2131000","STATISTICIANS","الفنيون الاحصائيون"
"2131012","STATISTICS TECHNICIAN","فنى احصائى"
"2131013","QUALIFIED TECHNICIAN","فنى مؤهل"
"2131014","TECHNICIAN IN CHARGE","فنى مسؤول"
"2131022","STATISTIC SURVEYOR","مساح احصائى"
"2131031","STATISTIC RESEARCHER","باحث احصائى"
"2132000","A","ا"
"2132009","VALVE OPERATOR","مشغل صمامات"
"2132010","COMPUTER OPERATOR SENIOR","مشغل كمبيوتر رئيسي"
"2132011","DATA ENTRY CLERK","مشغل حاسب الى"
"2132012","COMPUTER OPERATOR","مشغل كمبيوتر"
"2132013","COMPUTER DATA ENTRY OPERATOR","مدخل بيانات كمبيوتر"
"2132014","COMPUTER TECHNICAL CHECKER","مدقق فنى كمبيوتر"
"2132015","DATA ENTRY ASSISTANT","مساعد ادخال المعلومات"
"2132016","DATA ADMINISTRATOR","ادارى بيانات"
"2132017","ASSESSMENT DATA MANAGER","مدير بيانات الاختبار"
"2132018","DATA ENTRY ASSISTANT","مساعد مدخل بيانات"
"2132022","MICRO FICHE TECHNICIAN","فنى تصوير دقيق(ميكروفيش)"
"2132032","SUPPORTING SYSTEMS TECHNICIONS","فنى دعم انظمه"
"2132033","SENIOR CONSULTANT BUSINESS SYSTEMS","استشارى اول انظمة العمل"
"2132042","COMPUTER OPERATION SUPERVISOR","مشرف تشغيل كمبيوتر"
"2132043","IT SUPERVISOR","مشرف تقنية معلومات"
"2132051","DATA PROCESSING","معالج بيانات"
"2132052","IT NETWORK SUPERVISOR","مشرف شبكات الحاسوب الالي"
"2132129","TECHNICIAN","فني"
"2132130","TECHNICAL RESEARCHER","باحث تقني"
"2132131","DATA CONTROLLER","مراقب معلومات"
"2132132","INFORMATION SYSTEMS EXPERTS","خبير معلومات"
"2132133","TECHNICAL CONSULTANT","خبير فنى"
"2132134","INFORMATION SYS TECHNICIAN","فنيو نظم المعلومات"
"2132135","IT DOCUMENTATION OFFICER","ضابط توثيق معلومات"
"2132141","TECH.1/WATCHKEEPER","فنى اول مراقبه الاجهزه"
"2132143","TECH/WATCHKEEPER","فنى مراقبه الاجهزه"
"2132151","COMPUTER TECHNICIAN","فنى تشغيل حاسب الى"
"2132160","MAINTENANCE TECHNICIAN NETWORK SYSTEM","فنى صيانه انظمه الشبكه"
"2132161","BUSINESS PARTNER","شريك اعمال"
"2132162","HEAD OF CREATIVE SERVICES","رئيس الخدمات الإبداعيه"
"2200000","APPLIED SCIENCES TECHNICIAN","الفنيون فى العلوم التطبيقيه"
"2200010","FIREFIGHTING SYSTEM  TECHNICIAN","فني انظمه اطفاء الحريق"
"2200011","FGA MANAGER","مدير دائره الحريق والحوادث العامه"
"2200012","DEPUTY FGA MANAGER","مساعد مدير دائره الحريق والحوادث العامه"
"2200013","FGA SUPERVISOR","مشرف دائره الحريق والحوادث العامه"
"2200014","FGA OFFICER","ضابط دائره الحريق والحوادث العامه"
"2200015","FGA ASSISTANT","مساعد دائره الحريق والحوادث العامه"
"2200016","SPECIALIST FIRE FIGHTING","اختصاصي اطفاء الحريق"
"2200017","FIRE TENDER OPERATOR","مشغل شاحنة اطفاء"
"2210000","ENGINEERING SCE TECHNICIAN","الفنيون فى العلوم الهندسيه"
"2210001","TECHNICIAN","فنى"
"2210002","SENIOR TECHNICIAN","فنى اول"
"2210003","TECHNICAIN ASSISTANT","مساعد فنى"
"2210005","TECHNICAL COORDINATOR","منسق فنى"
"2210011","GENERAL TEHNICIAN SUPERVISOR","مشرف عام فنى"
"2210030","CHIEF TECHNICIANEXTERNAL WORK","كبير فنيى الأعمال الخارجيه"
"2210040","CHIEF TECH.LONG DISTANCE FREQUENCIES","رئيس فنيى ترددات المسافات البعيده"
"2210501","SENIOR CHARGE TECHNICION","فنى مسئول اول"
"2211000","ARCHITECTURE TECHNICIANS","الفنيون المعماريون"
"2211012","ARCHITECTURE DRAUGHTSMAN","رسام معمارى"
"2211022","ARCHITECTURE MODEL MAKER","صانع نماذج معماريه(ماكيت)"
"2211031","DESIGNER OFFICER","ضابط تصاميم"
"2212000","CIVIL ENGR AND SURVEY TECS","فنيوالهندسه المدنيه والمساحه"
"2212008","ADVISOR PLANNING AND QUALITY","مستشار التخطيط والجوده"
"2212009","CHIEF TECHNICIAN/PLANNING","رئيس فنيى التخطيط"
"2212010","TECH. I /PLANNING","فنى اول تخطيط"
"2212011","SENIOR TECHNICIAN/PLANNING","كبير فنيى التخطيط"
"2212012","STRUCTURAL DRAUGHTSMAN BUILDIG","رسام انشائي/ابنيه"
"2212022","STRUCTURAL DRAUGHTSMAN ROADS","رسام انشائي/طرق"
"2212023","STAND PLANNER","مخطط مواقف"
"2212024","SENIOR STAND PLANNER","مخطط مواقف اول"
"2212025","STAND ALLOCATOR","مخصص مواقف"
"2212026","SENIOR STAND ALLOCATOR","مخصص مواقف اول"
"2212032","BUILDING CONSTR TEC/CONTROLLER","فنى ابنيه(مراقب ابنيه)"
"2212038","PROJECTS EXECUTIVE","تنفيذى مشاريع"
"2212039","PROJECT PLANNER","مخطط مشاريع"
"2212040","PROJECT ANALYST","محلل مشاريع"
"2212041","IT PROJECT COORDINATOR","منسق تقنى للمشاريع"
"2212042","HIWAY ROAD CONST TEC CONTROLLR","فنى طرق(مراقب طرق)"
"2212043","SENIOR FACALITIES COORDINATOR","منسق مرافق اول"
"2212044","SENIOR PROJECT COORDINATOR","منسق مشروع اول"
"2212045","TECHNICAL CONTROLLER","مراقب فنى"
"2212046","PROJECT COORDINATOR","منسق مشروع"
"2212047","PROJECT CONTROLLER","مراقب مشاريع"
"2212048","WORK SUPERVISOR","مراقب اعمال"
"2212049","SUP. CIVIL WORK","مشرف اعمال مدنيه"
"2212050","ASSESSMENT PROJECT COORDINATOR","منسق مشاريع الاختبارات"
"2212051","ASST. SUP. CIVIL WORK","مساعد مشرف اعمال مدنيه"
"2212052","BUILDINGS SURVEYOR","مساح ابنيه"
"2212053","SENIOR WATCHROOM OPERATOR","مشغل اول غرفه المراقبه"
"2212054","WATCHROOM OPERATOR","مشغل غرفه المراقبه"
"2212055","COORDINATOR SPECIAL PROJECTS","منسق المشاريع الخاصه"
"2212056","PMO ANALYST","محلل ادارة المشاريع"
"2212057","SENIOR OFFICER CONTROL ROOM","ضابط اول غرفة المراقبه"
"2212058","SENIOR INSPECTOR CONTROL ROOM","مفتش اول غرفة المراقبه"
"2212059","OFFICER CONTROL  ROOM","ضابط غرفة المراقبه"
"2212060","INSPECTOR CONRTROL ROOM","مفتش غرفة المراقبه"
"2212062","HIWAY AND ROAD SURVEYOR","مساح طرق"
